tv_raob,RADIOSONDE: Virtual temperature,(K)
qv_raob,RADIOSONDE: Specific humidity,(g/kg)
u_raob,RADIOSONDE: Zonal wind,(m/s)
v_raob,RADIOSONDE: Meridional wind, (m/s)
ps_raob,RADIOSONDE: Surface pressure,(hPa)
tv_acraft,AIRCRAFT: Virtual temperature,(K)
qv_acraft,AIRCRAFT: Specific humidity,(g/kg)
u_acraft,AIRCRAFT: Zonal wind,(m/s)
v_acraft,AIRCRAFT: Meridional wind,(m/s)
u_prof,PROFILER: Zonal wind,(m/s)
v_prof,PROFILER: Meridional wind,(m/s)
u_scat,SCATTEROMETER: Zonal wind,(m/s)
v_scat,SCATTEROMETER: Meridional wind,(m/s)
w_ssmi,SSMI: Wind speed,(m/s)
u_amv,ATMOS MOTION VECTORS: Zonal wind,(m/s)
v_amv,ATMOS MOTION VECTORS: Meridional wind,(m/s)
sst_sea,SEA SURFACE: Sea surface temperature,(K)
tv_sea,SEA SURFACE: Virtual temperature,(K)
ps_sea,SEA SURFACE: Surface pressure,(hPA)
u_sea,SEA SURFACE: Zonal wind,(m/s)
v_sea,SEA SURFACE: Meridional wind,(m/s)
qv_sea,SEA SURFACE: Specific humidity,(g/kg)
ps_land,LAND SURFACE: Surface pressure,(hPA)
ps_paob,PAOB SURFACE: Synthetic surface pressure,(hPA)
tv_drift,Drifting Buoy: Virtual Temperature,(K)
tv_mls,MLS:           Virtual Temperature,(K)
u_drift,Drifting Buoy: Zonal wind,(m/s)
v_drift,Drifting Buoy: Meridional wind,(m/s)
ps_drift,Drifting Buoy: Surface Pressure,(hPa)
bang_gps,GPSRO Bending Angle,(degree)
tv_raob_omf,RADIOSONDE: Virtual temperature (mean O-minus-F),(K)
qv_raob_omf,RADIOSONDE: Specific humidity (mean O-minus-F),(g/kg)
u_raob_omf,RADIOSONDE: Zonal wind (mean O-minus-F),(m/s)
v_raob_omf,RADIOSONDE: Meridional wind (mean O-minus-F),(m/s)
ps_raob_omf,RADIOSONDE: Surface pressure (mean O-minus-F),(hPa)
tv_acraft_omf,AIRCRAFT: Virtual temperature (mean O-minus-F),(K)
qv_acraft_omf,AIRCRAFT: Specific humidity (mean O-minus-F),(g/kg)
u_acraft_omf,AIRCRAFT: Zonal wind (mean O-minus-F),(m/s)
v_acraft_omf,AIRCRAFT: Meridional wind (mean O-minus-F),(m/s)
u_prof_omf,PROFILER: Zonal wind (mean O-minus-F),(m/s)
v_prof_omf,PROFILER: Meridional wind (mean O-minus-F),(m/s)
u_scat_omf,SCATTEROMETER: Zonal wind (mean O-minus-F),(m/s)
v_scat_omf,SCATTEROMETER: Meridional wind (mean O-minus-F),(m/s)
w_ssmi_omf,SSMI: Wind speed (mean O-minus-F),(m/s)
u_amv_omf,ATMOS MOTION VECTORS: Zonal wind (mean O-minus-F),(m/s)
v_amv_omf,ATMOS MOTION VECTORS: Meridional wind (mean O-minus-F),(m/s)
sst_sea_omf,SEA SURFACE: Sea surface temperature (mean O-minus-F),(K)
tv_sea_omf,SEA SURFACE: Virtual temperature (mean O-minus-F),(K)
ps_sea_omf,SEA SURFACE: Surface pressure (mean O-minus-F),(hPA)
u_sea_omf,SEA SURFACE: Zonal wind (mean O-minus-F),(m/s)
v_sea_omf,SEA SURFACE: Meridional wind (mean O-minus-F),(m/s)
qv_sea_omf,SEA SURFACE: Specific humidity (mean O-minus-F),(g/kg)
ps_land_omf,LAND SURFACE: Surface pressure (mean O-minus-F),(hPA)
ps_paob_omf,PAOB SURFACE: Synthetic surface pressure (mean O-minus-F),(hPA)
tv_drift_omf,Drifting Buoy: Virtual Temperature (mean O-minus-F),(K)
tv_mls_omf,MLS: Virtual Temperature (mean O-minus-F),(K)
u_drift_omf,Drifting Buoy: Zonal wind (mean O-minus-F),(m/s)
v_drift_omf,Drifting Buoy: Meridional wind (mean O-minus-F),(m/s)
